CORSA ,,,289,291,149,407,101,409,103,419,105,405,107,473,109,159,113,193,111,195,131,177,123,413,429,415,425,127,129,481,417,191,161,477,135,153,137,139,141,143,145,147,151,
CADENZA,,,FR5,FR5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,SC5,SC5,SC5,SC5,FR5,FR5,SC5,SC5,FR5,FR5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,
BT947,Busto G.,Via Buonarroti civ 3,,,06:13,06:28,06:51,07:10,07:26,07:32,07:56,08:24,08:27,08:29,08:57,09:27,09:57,10:27,10:57,11:27,11:57,12:27,12:57,13:32,13:36,13:37,13:41,13:57,14:32,14:36,14:48,14:57,15:22,15:52,15:57,16:32,16:57,17:57,18:27,18:57,19:27,19:54,20:24,
BT951,Busto G.,Via per Busto A. n. 90 (piscina),,,06:14,06:29,06:53,07:11,07:28,07:33,07:58,08:26,08:29,08:31,08:59,09:29,09:59,10:28,10:58,11:29,11:58,12:28,12:59,13:34,13:38,13:39,13:43,13:59,14:34,14:38,14:50,14:59,15:24,15:54,15:58,16:34,16:58,17:59,18:29,18:59,19:29,19:56,20:26,
BT999,Busto G.,V.Busto A. n.131 (deposito),05:32,05:55,06:15,06:31,06:55,07:13,07:30,07:35,08:00,,08:31,08:33,09:01,09:31,10:01,10:30,11:00,11:30,12:00,12:30,13:01,13:36,13:40,13:41,13:45,14:01,14:36,14:40,14:52,15:01,15:26,15:56,16:00,16:35,17:00,18:01,18:31,19:01,19:31,19:58,20:28,
DG099,DAIRAGO,Via Verdi n.13,05:34,05:57,06:17,06:33,06:57,07:15,07:32,07:37,08:02,,08:33,,09:04,09:34,10:04,10:32,11:02,0,0,12:32,13:04,13:39,13:43,13:44,13:48,14:04,14:39,0,14:54,15:04,15:29,0,16:02,0,17:02,18:04,18:34,19:04,0,20:01,0,
DG141,DAIRAGO,Via Damiano Chiesa MUNICIPIO,05:36,05:59,06:19,06:35,06:59,07:17,07:34,07:39,08:04,,08:35,,09:05,09:35,10:05,10:34,11:04,0,0,12:34,13:05,13:40,13:44,13:45,13:49,14:05,14:40,0,14:56,15:05,15:30,0,16:04,0,17:04,18:05,18:35,19:05,0,20:02,0,
DG807,DAIRAGO,Via Circonvallazione civ.48,05:37,06:00,06:20,06:36,07:00,07:18,07:35,07:40,08:06,,08:37,,09:07,09:37,10:07,10:35,11:05,0,0,12:35,13:07,13:42,13:45,13:47,13:50,14:07,14:42,0,14:58,15:06,15:31,0,16:05,0,17:05,18:06,18:36,19:06,0,20:03,0,
OC114,OLCELLA,Via Montebello n. 11,05:39,06:02,06:22,06:37,07:02,07:20,07:38,07:42,08:08,,08:39,,09:09,09:39,10:09,10:37,11:07,0,0,12:37,13:09,13:44,13:48,13:49,13:53,14:09,14:44,0,15:00,15:09,15:34,0,16:07,0,17:07,18:09,18:39,19:09,0,20:06,0,
AC809,ARCONATE,Via Varese ang.V.Moina,05:42,06:04,06:24,06:39,07:04,07:22,07:41,07:44,08:10,,08:42,,09:11,09:41,10:11,10:39,11:09,0,0,12:39,13:11,13:46,13:50,13:51,13:55,14:11,14:46,0,15:02,15:11,15:36,0,16:09,0,17:09,18:11,18:41,19:11,0,20:08,0,
AC035,ARCONATE,Via Concordia fr Civ.13,05:43,06:06,06:26,06:41,07:06,07:24,07:43,07:46,08:13,,08:44,,09:13,09:43,10:13,10:41,11:11,0,0,12:41,13:13,13:48,13:52,13:53,13:57,14:13,14:48,0,15:04,15:13,15:38,0,16:11,0,17:11,18:13,18:43,19:13,0,20:10,0,
AC811,ARCONATE,Via Volta ang. V.XXIV Maggio,05:44,06:07,06:27,06:42,07:07,07:25,07:44,07:47,08:14,,08:45,,09:14,09:44,10:14,10:42,11:12,0,0,12:42,13:14,13:49,13:53,13:54,13:58,14:14,14:49,0,15:05,15:14,15:39,0,16:12,0,17:12,18:14,18:44,19:14,0,20:11,0,
