CORSA CADENZA,,,,101,103,105,107,109,201,283,111,113,115,117,203,205,119,275,121,123,125,127,129,131,133,135,137,139,141,143,145,147,,149,151,153,155,157,159,161,163,277,165,167,169,171,173,175,177,179,181,183,185,187,189,191,193,197,199,
,,,,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,SC5,FR5,SC5,FR5,,SC5,FR5,SC5,FR5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,
RG011,,Rogorotto,V.Santa Caterina n.4,,,,07:15,07:31,,,08:00,08:15,,08:35,,08:55,,,09:25,09:40,10:00,10:20,10:35,11:00,11:30,12:00,12:30,13:00,,13:30,,14:00,,,14:30,,15:00,,15:30,16:00,16:20,16:40,17:00,17:20,,18:02,,18:22,,18:42,,19:02,,19:22,,20:00,,,,
AL050,,ARLUNO,Via Turati FR.58,06:24,06:39,06:54,07:17,07:33,07:40,07:50,08:03,08:18,08:25,08:38,08:45,08:58,09:05,09:15,09:28,09:43,10:03,10:23,10:38,11:03,11:33,12:03,12:33,13:03,,13:33,13:45,14:03,,14:15,14:33,14:45,15:03,15:15,15:33,16:03,16:23,16:43,17:03,17:23,17:43,18:05,18:12,18:25,18:32,18:45,18:52,19:05,19:12,19:25,19:38,20:03,20:25,21:05,21:45,
AL195,,ARLUNO,P.zza A.De Gasperi MUNICIPIO,06:25,06:40,06:55,07:18,07:34,07:41,07:51,08:04,08:19,08:26,08:39,08:46,08:59,09:06,09:16,09:29,09:44,10:04,10:24,10:38,11:04,11:34,12:04,12:34,13:04,,13:34,13:46,14:04,,14:16,14:34,14:46,15:04,15:16,15:34,16:04,16:24,16:44,17:04,17:24,17:44,18:06,18:13,18:26,18:33,18:46,18:53,19:06,19:13,19:26,19:39,20:04,20:26,21:06,21:46,
AL802,,ARLUNO,Via ADUA ang. Giovanni XXIII,06:29,06:44,06:59,07:22,07:38,07:45,07:55,08:08,08:23,08:30,08:43,08:50,09:03,09:10,09:20,09:33,09:47,10:07,10:27,10:42,11:07,11:37,12:07,12:37,13:07,,13:37,13:50,14:08,,14:20,14:38,14:50,15:08,15:20,15:38,16:08,16:28,16:48,17:08,17:28,17:48,18:10,18:17,18:30,18:37,18:50,18:56,19:10,19:17,19:30,19:43,20:07,20:29,21:09,21:49,
OS011,,OSSONA,Via Patrioti n.4,06:34,06:48,07:03,07:27,07:42,07:50,08:00,08:12,08:27,08:34,08:47,08:54,09:07,09:14,09:24,09:37,09:51,10:11,10:31,10:46,11:11,11:41,12:11,12:41,13:12,,13:42,13:54,14:12,,14:24,14:42,14:54,15:12,15:24,15:42,16:12,16:32,16:52,17:12,17:32,17:52,18:14,18:21,18:34,18:41,18:54,19:01,19:14,19:21,19:34,19:47,20:11,20:33,21:13,21:53,
CZ093,,CASOREZZO,Via E.Mattei fr.Civ.1,06:36,06:50,07:05,07:30,07:45,07:53,08:03,08:15,08:30,08:37,08:50,08:57,09:10,09:17,09:27,09:40,09:53,10:13,10:33,10:48,11:13,11:43,12:13,12:43,13:15,,13:45,13:57,14:15,,14:27,14:45,14:57,15:15,15:27,15:45,16:15,16:35,16:55,17:15,17:35,17:55,18:17,18:24,18:37,18:44,18:57,19:04,19:17,19:24,19:37,19:50,20:14,20:36,21:15,21:55,
CZ094,,CASOREZZO,Via Arluno ang.V.Delle Chiuse,06:38,06:52,07:07,07:32,07:47,07:55,08:05,08:17,08:32,08:39,08:52,08:59,09:12,09:19,09:29,09:42,09:55,10:15,10:35,10:50,11:15,11:45,12:15,12:45,13:17,,13:47,13:59,14:17,,14:29,14:47,14:59,15:17,15:29,15:47,16:17,16:37,16:57,17:17,17:37,17:57,18:19,18:26,18:39,18:46,18:59,19:06,19:19,19:26,19:39,19:52,20:16,20:38,21:17,21:57,
CZ080,,CASOREZZO,Via Bertani n. fronte civ 19,06:40,06:54,07:09,07:34,07:49,07:57,08:07,08:19,08:34,08:41,08:54,09:01,09:14,09:21,09:31,09:44,09:57,10:17,10:37,10:52,11:17,11:47,12:17,12:47,13:19,,13:49,14:01,14:19,,14:31,14:49,15:01,15:19,15:31,15:49,16:19,16:39,16:59,17:19,17:39,18:00,18:22,18:29,18:42,18:49,19:02,19:09,19:22,19:29,19:42,19:54,20:18,20:40,21:19,21:59,
BT215,,Busto G.,Via Parabiago n. 61,06:44,06:58,07:13,07:38,07:53,08:01,08:11,08:23,08:38,08:45,08:58,09:05,09:18,09:25,09:35,09:48,10:00,10:20,10:40,10:55,11:20,11:50,12:20,12:50,13:23,,13:53,14:05,14:23,,14:35,14:53,15:05,15:23,15:35,15:53,16:23,16:43,17:03,17:23,17:43,18:04,18:26,18:33,18:46,18:53,19:06,19:13,19:26,19:33,19:46,19:58,20:22,20:44,21:23,22:03,
BT300,,Busto G.,Via Matteotti 5,06:45,06:59,07:14,07:39,07:54,08:02,08:12,08:24,08:39,08:46,08:59,09:06,09:19,09:26,09:36,09:49,10:01,10:21,10:41,10:56,11:21,11:51,12:21,12:51,13:24,,13:54,14:06,14:24,,14:36,14:54,15:06,15:24,15:36,15:54,16:24,16:44,17:04,17:24,17:44,18:05,18:27,18:34,18:47,18:54,19:07,19:14,19:27,19:34,19:47,19:59,20:24,20:46,21:24,22:04,
BT776,,Busto G.,Via Vincenzo Bellini civ.44,06:47,07:01,07:16,07:42,07:57,08:05,08:15,08:27,08:42,08:49,09:02,09:09,09:22,09:29,09:39,09:52,10:04,10:24,10:44,10:59,11:24,11:54,12:24,12:54,13:27,,13:57,14:09,14:27,,14:39,14:57,15:09,15:27,15:39,15:57,16:27,16:47,17:07,17:27,17:47,18:08,18:30,18:37,18:50,18:57,19:10,19:17,19:30,19:37,19:50,20:02,20:26,20:47,21:26,22:06,
BT956,,Busto G.,V.Montebianco fr Civ.17,06:49,07:03,07:18,07:44,07:59,08:07,08:17,08:29,08:44,08:51,09:04,09:11,09:24,09:31,09:41,09:54,10:06,10:26,10:46,11:01,11:26,11:56,12:26,12:56,13:29,,13:59,14:11,14:29,,14:41,14:59,15:11,15:29,15:41,15:59,16:29,16:49,17:09,17:29,17:49,18:11,18:33,18:40,18:53,19:00,19:13,19:20,19:33,19:40,19:53,20:04,20:28,20:49,21:28,22:08,
,BT951,Busto G.,Via per Busto A. n. 90 (piscina),06:50,07:04,07:19,07:45,08:01,08:09,08:19,08:31,08:46,08:53,09:06,09:13,09:26,09:33,09:43,09:56,10:07,10:27,10:47,11:02,11:27,11:57,12:27,12:57,13:31,,14:01,14:13,14:31,,14:43,15:01,15:13,15:31,15:43,16:01,16:31,16:51,17:11,17:31,17:51,18:13,18:35,18:42,18:55,19:02,19:15,19:22,19:35,19:42,19:55,20:06,20:30,20:51,21:29,22:09,
BT999,,Busto G.,V.Busto A. n.131 (deposito),06:53,07:07,07:22,07:48,08:04,08:11,08:21,08:34,08:49,08:56,09:09,09:16,09:29,09:36,09:46,09:59,10:10,10:30,10:50,11:05,11:30,12:00,12:30,13:00,13:34,,14:04,14:16,14:34,,14:46,15:04,15:16,15:34,15:46,16:04,16:34,16:54,17:14,17:34,17:54,18:15,18:37,18:44,18:57,19:04,19:17,19:24,19:37,19:44,19:57,20:09,20:32,20:53,21:32,22:12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
