CORSA CADENZA,,,,102,104,106,108,110,112,202,114,204,116,206,118,208,120,210,122,124,126,128,130,216,132,134,136,138,140,142,144,146,148,212,150,214,152,192,154,194,156,196,158,160,162,164,166,198,168,170,172,174,176,178,180,182,184,188,190,
,,,,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,
OS001,,OSSONA,Via Patriotti fr Civ. 118 A,05:17,05:32,05:45,06:00,06:15,06:25,,06:35,,06:44,,06:56,,07:05,,07:16,07:26,07:36,07:46,07:56,,08:21,08:41,09:01,09:19,09:44,10:14,10:44,11:14,11:44,,12:14,,12:44,13:05,13:14,13:35,13:44,14:05,14:14,14:44,15:09,15:34,15:54,16:14,16:34,16:55,17:18,17:33,17:48,18:03,18:18,18:43,19:07,19:52,20:32,
AL801,,ARLUNO,Via Adua ang. GIovanni XXIII,05:21,05:36,05:49,06:04,06:19,06:29,06:38,06:39,06:48,06:48,07:00,07:00,,07:09,,07:20,07:30,07:40,07:50,08:00,,08:25,08:45,09:05,09:23,09:48,10:18,10:48,11:18,11:48,,12:18,,12:48,13:09,13:18,13:39,13:48,14:09,14:18,14:48,15:13,15:38,15:58,16:18,16:38,16:59,17:22,17:37,17:52,18:07,18:22,18:47,19:11,19:56,20:36,
AL185,,ARLUNO,Piazza A.De Gasperi,05:27,05:42,05:55,06:10,06:25,06:35,06:44,06:45,06:54,06:55,07:07,07:07,,07:17,,07:28,07:38,07:48,07:58,08:08,,08:33,08:52,09:12,09:30,09:55,10:25,10:55,11:25,11:55,,12:25,,12:55,13:16,13:25,13:46,13:55,14:16,14:25,14:55,15:20,15:45,16:05,16:25,16:45,17:06,17:27,17:42,17:57,18:12,18:27,18:52,19:15,20:00,20:40,
AL051,,ARLUNO,Via Turati 58,05:30,05:45,05:58,06:13,06:28,06:38,06:47,06:48,06:57,06:58,07:10,07:09,,07:19,,07:30,07:40,07:50,08:00,08:10,,08:36,08:54,09:14,09:32,09:57,10:27,10:57,11:27,11:57,,12:27,,12:57,13:18,13:27,13:48,13:57,14:18,14:27,14:57,15:22,15:47,16:07,16:27,16:47,17:08,17:30,17:45,18:00,18:15,18:30,18:55,19:18,20:03,20:43,
RG001,,Rogorotto,Via Santa Caterina n.5,,05:46,05:59,06:14,06:30,06:40,,06:50,,07:00,,07:11,,07:21,,07:32,07:42,07:52,08:02,08:12,,08:37,08:56,09:16,09:34,09:59,10:29,10:59,11:29,11:59,,12:29,,12:59,,13:29,,13:59,14:20,14:29,14:59,15:24,15:49,16:09,16:29,16:49,,17:32,,18:02,,18:32,,19:20,,,
MN021,,Mantegazza,Via Madonnina BIVIO,,05:48,06:01,06:16,06:32,06:42,,06:52,,07:02,,07:13,,07:23,,07:34,07:44,07:54,08:04,08:14,,08:39,08:58,09:18,09:36,10:01,10:31,11:01,11:31,12:01,,12:31,,13:01,,13:31,,14:01,14:22,14:31,15:01,15:26,15:51,16:11,16:31,16:51,,17:34,,18:04,,18:34,,19:22,,,
PG008,,Pregnana,V.Marconi a.V.Gorizia (Rondo'),05:34,05:51,06:04,06:19,06:35,06:45,06:49,06:55,06:59,07:05,07:11,07:16,,07:26,,07:37,07:47,07:57,08:07,08:17,,08:42,09:01,09:21,09:39,10:04,10:34,11:04,11:34,12:04,,12:34,,13:04,13:23,13:34,13:53,14:04,14:25,14:34,15:04,15:29,15:54,16:14,16:34,16:54,17:13,17:37,17:50,18:07,18:20,18:37,19:00,19:25,20:08,20:48,
,PG102,Pregnana,V.Marconi Fr.Civ.146 STAZIONE FS,05:35,05:52,06:05,06:20,06:36,06:46,06:51,06:56,07:01,07:06,07:13,07:17,,07:27,,07:38,07:48,07:58,08:08,08:18,,08:43,09:02,09:22,09:40,10:05,10:35,11:05,11:35,12:05,,12:35,,13:05,13:24,13:35,13:54,14:05,14:26,14:35,15:05,15:30,15:55,16:15,16:35,16:55,17:14,17:38,17:51,18:08,18:21,18:38,19:01,19:26,20:09,20:49,
PG111,,Pregnana,Stazione FS Partenza,,,,,,,,,,,,,07:22,,07:32,,,,,,08:27,,,,,,,,,,12:20,,12:50,,,,,,,,,,,,,,,,,,,,,,,,
PG009,,Pregnana,V.Giovanni XXIII civ.55,05:36,05:53,06:06,06:21,06:37,06:47,06:52,06:57,07:02,07:07,07:14,07:18,07:23,07:28,07:33,07:39,07:49,07:59,08:09,08:19,08:28,08:44,09:03,09:23,09:41,10:06,10:36,11:06,11:36,12:06,12:22,12:36,12:52,13:06,13:25,13:36,13:55,14:06,14:27,14:36,15:06,15:31,15:56,16:16,16:36,16:56,17:15,17:39,17:52,18:09,18:22,18:39,19:02,19:27,20:10,20:50,
