CORSA ,,,102,410,104,490,106,108,402,406,404,110,408,112,926,426,114,116,118,192,122,196,120,482,488,130,492,132,412,134,136,414,138,416,414,140,142,144,146,148,150,152,290,156,
CADENZA,,,FR5,SC5,FR5,SC5,FR5,FR5,SC5,SC5,SC5,FR5,SC5,FR5,SC5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,SC5,SC5,FR5,SC5,FR5,SC5,FR5,FR5,SC5,FR5,SC5,SC5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,FR5,
DG142,DAIRAGO,V. Damiano Chiesa civ.11,,,6:20,,06:47,07:08,,,07:18,07:48,07:56,08:27,08:38,08:49,08:57,09:27,09:57,10:27,0,11:27,11:57,12:32,0,12:52,0,13:27,13:55,13:57,14:22,14:55,14:57,15:00,14:55,15:32,15:57,16:57,0,17:58,0,18:57,19:27,19:57,
DG097,DAIRAGO,Via Verdi n.24,,,06:22,,06:49,07:10,,,07:20,07:50,07:58,08:29,08:40,08:51,08:59,09:29,09:59,10:29,0,11:29,11:59,12:34,0,12:54,0,13:29,13:57,13:59,14:24,14:57,14:59,15:02,14:57,15:34,15:59,16:59,0,18:00,0,18:59,19:29,19:59,
BT999,Busto G.,V.Busto A. n.131 (deposito),05:50,06:10,06:24,06:40,06:51,07:12,,07:16,07:22,07:52,08:00,08:31,08:42,08:53,09:01,09:31,10:01,10:31,11:01,11:31,12:01,12:36,12:43,12:56,13:30,13:31,13:59,14:01,14:26,15:00,15:01,15:05,15:00,15:36,16:01,17:01,17:28,18:02,18:23,19:01,19:31,20:01,
BT949,Busto G.,Via Per Busto A n. 91 (piscina),05:51,06:11,06:25,06:41,06:52,07:13,,07:17,07:23,07:54,08:01,08:32,,,09:02,09:32,10:02,10:32,11:02,11:32,12:02,12:37,12:44,12:57,13:31,13:32,14:00,14:02,14:27,15:01,15:02,0,15:01,15:37,16:02,17:02,17:29,18:03,18:24,19:02,19:32,0,
BT301,Busto G.,Via Buonarroti ang.v.Busto A.,05:52,06:12,06:26,06:42,06:54,07:15,07:17,07:19,07:25,07:56,08:03,08:34,,,09:04,09:34,10:04,10:34,11:04,11:34,12:04,12:39,12:46,12:59,13:33,13:34,14:02,14:04,14:29,15:03,15:04,0,15:03,15:39,16:04,17:04,17:31,18:05,18:26,19:04,19:34,0,
BT703,Busto G.,Via Buonarroti a.v.Carroccio,05:53,06:13,06:27,06:43,06:56,07:16,07:18,07:21,07:26,07:57,08:04,08:35,,,09:05,09:35,10:05,10:35,11:05,11:35,12:05,12:40,12:47,13:00,13:34,13:35,14:03,14:05,14:30,15:04,15:05,0,15:04,15:40,16:05,17:05,17:32,18:06,18:27,19:05,19:35,0,
BT704,Busto G.,Via Curiel a.v.De Amicis,05:55,06:15,06:29,06:45,06:58,07:18,07:20,07:23,07:28,07:59,08:06,08:37,,,09:07,09:37,10:07,10:37,11:07,11:37,12:07,12:42,12:49,13:02,13:36,13:37,14:05,14:07,14:32,15:06,15:07,0,15:06,15:42,16:07,17:07,17:34,18:08,18:29,19:07,19:37,0,
VC801,Villa C.,V.Pietro Micca civ.17,05:58,06:17,06:31,06:48,07:00,07:20,07:22,07:25,07:30,08:01,08:08,08:39,,,09:09,09:39,10:09,10:39,11:09,11:39,12:09,12:44,12:51,13:04,13:38,13:39,14:07,14:09,14:34,15:08,15:09,0,15:08,15:44,16:09,17:09,17:36,18:10,18:31,19:09,19:39,0,
VC050,Villa C.,Via A.Da Giussano n.32,05:59,06:19,06:33,06:49,07:02,07:22,07:24,07:27,07:32,08:04,08:09,08:41,,,09:11,09:41,10:11,10:41,11:11,11:41,12:11,12:46,12:53,13:06,13:40,13:41,14:08,14:11,14:36,15:10,15:11,0,15:10,15:46,16:11,17:11,17:38,18:12,18:33,19:11,19:41,0,
VC051,Villa C.,Via A.Da Giussano n.50,06:00,06:20,06:34,06:50,07:03,07:23,07:25,07:29,07:33,08:05,,08:42,,,09:12,09:42,10:12,10:42,11:12,11:42,12:12,12:47,12:54,13:07,13:41,13:42,14:09,14:12,14:37,15:11,15:12,0,15:11,15:47,16:12,17:12,17:39,18:13,18:34,19:12,19:42,0,
